Customer ID,Age,Gender,Subscription Plan,Total Monthly Billing
78,32,Female,Standard,5.15
79,35,Male,Premium,7.38
80,15,Female,Standard,6.75
81,32,Male,Premium,9.0
82,38,Male,Standard,5.15
83,49,Male,Premium,9.18
84,29,Male,Premium,7.5600000000000005
85,26,Female,Premium,5.58
86,29,Female,Premium,7.26
87,44,Male,Premium,8.879999999999999
88,38,Female,Standard,7.8
89,29,Male,Standard,6.7
90,40,Female,Standard,3.2
91,35,Female,Premium,4.62
92,44,Female,Standard,5.4
93,27,Male,Premium,5.7
94,31,Female,Standard,4.2
95,31,Female,Standard,5.1
96,20,Male,Standard,5.1
97,37,Male,Standard,3.6999999999999997
98,37,Female,Standard,7.3
99,35,Female,Standard,4.1000000000000005
100,32,Female,Standard,6.75
101,20,Female,Standard,2.1500000000000004
102,30,Female,Standard,4.75
103,31,Male,Standard,4.6000000000000005
104,26,Male,Premium,3.12
105,33,Male,Standard,5.800000000000001
106,39,Female,Standard,3.9
107,53,Male,Standard,8.4
108,36,Female,Standard,7.1499999999999995
109,37,Female,Standard,3.95
110,34,Female,Standard,6.300000000000001
111,15,Male,Standard,6.05
112,34,Female,Standard,2.4
113,35,Male,Standard,8.8
114,59,Female,Premium,3.48
115,33,Male,Premium,6.54
116,38,Male,Standard,3.1500000000000004
117,34,Female,Standard,6.95
118,23,Male,Standard,7.1000000000000005
119,46,Male,Standard,5.7
120,42,Female,Premium,6.18
121,42,Female,Standard,5.7
122,25,Female,Standard,5.8
123,49,Female,Standard,3.5
124,20,Female,Premium,6.06
125,40,Male,Standard,2.0500000000000003
126,56,Male,Standard,7.05
127,25,Male,Standard,4.3500000000000005
128,29,Female,Standard,2.85
129,35,Female,Standard,6.4
130,29,Male,Standard,6.15
131,19,Male,Standard,3.7
132,35,Female,Standard,7.05
133,24,Male,Standard,7.5
134,39,Female,Standard,4.550000000000001
135,25,Female,Standard,3.1
136,50,Female,Standard,4.8
137,27,Male,Premium,4.92
138,31,Female,Standard,3.15
139,43,Female,Standard,4.0
140,22,Female,Standard,4.9
141,37,Female,Standard,4.35
142,48,Female,Premium,4.140000000000001
143,18,Female,Standard,6.1
144,36,Male,Premium,5.3999999999999995
145,37,Female,Standard,4.5
146,42,Female,Standard,5.3
147,22,Male,Premium,5.04
148,21,Female,Premium,9.18
149,40,Female,Premium,2.88
150,37,Female,Premium,3.96
151,37,Male,Standard,6.3500000000000005
152,38,Male,Premium,2.46
153,28,Female,Standard,7.449999999999999
154,37,Female,Premium,6.779999999999999
155,37,Male,Standard,4.5
156,27,Female,Premium,8.16
157,53,Female,Standard,4.3
158,39,Female,Standard,5.3
159,23,Female,Standard,2.2
160,41,Male,Premium,4.8
161,25,Male,Standard,7.35
162,42,Male,Standard,2.65
163,46,Female,Standard,3.65
164,26,Male,Standard,5.0
165,44,Male,Premium,3.48
166,39,Male,Standard,4.45
167,43,Female,Premium,5.58
168,53,Female,Standard,3.5500000000000003
169,32,Male,Standard,2.3000000000000003
170,27,Male,Premium,7.9799999999999995
171,26,Female,Standard,3.7
172,26,Male,Standard,4.4
173,34,Male,Standard,5.750000000000001
174,38,Male,Premium,3.42
175,37,Male,Standard,4.5
176,43,Male,Premium,6.06
177,35,Female,Premium,3.2399999999999998
178,49,Male,Standard,3.8000000000000003
179,32,Female,Standard,5.65
180,62,Male,Standard,3.8499999999999996
181,41,Female,Standard,3.1
182,26,Female,Standard,4.65
183,24,Male,Standard,5.5
184,39,Female,Standard,3.6
185,32,Male,Premium,4.32
186,42,Female,Premium,10.8
187,39,Male,Premium,3.0599999999999996
188,34,Male,Standard,4.15
189,26,Male,Standard,3.65
190,19,Other,Standard,4.45
191,30,Female,Premium,5.1
192,43,Female,Standard,4.5
193,37,Male,Premium,3.48
194,22,Female,Standard,6.85
195,36,Male,Standard,5.5
196,38,Female,Premium,3.7800000000000002
197,26,Male,Standard,4.6000000000000005
198,36,Male,Premium,5.28
199,35,Male,Premium,6.24
200,23,Male,Standard,3.3
201,38,Female,Standard,3.8000000000000003
202,40,Male,Standard,7.35
203,45,Female,Premium,5.34
204,45,Male,Standard,3.25
205,21,Female,Standard,3.05
206,25,Male,Standard,4.4
207,40,Male,Premium,7.2
208,40,Female,Standard,4.1
209,40,Male,Premium,9.18
210,73,Male,Premium,7.02
211,40,Female,Standard,6.15
212,46,Female,Standard,3.1
213,44,Male,Premium,8.82
214,41,Male,Standard,5.9
215,31,Female,Premium,8.34
216,42,Male,Standard,5.5
217,27,Male,Standard,6.85
218,32,Male,Premium,7.8
219,30,Female,Standard,3.8000000000000003
220,35,Female,Standard,5.35
221,58,Male,Standard,7.7
222,16,Male,Standard,5.15
223,41,Male,Standard,5.05
224,18,Female,Standard,4.05
225,30,Male,Premium,3.1799999999999997
226,45,Male,Standard,5.0
227,35,Female,Standard,7.4
228,24,Male,Standard,4.7
229,27,Female,Premium,8.46
230,41,Male,Standard,6.65
231,27,Male,Premium,7.2
232,37,Male,Standard,4.9
233,35,Female,Standard,2.3000000000000003
234,28,Female,Standard,4.8500000000000005
235,56,Female,Standard,5.0
236,41,Male,Standard,3.95
237,14,Female,Standard,2.95
238,36,Male,Premium,5.76
239,28,Male,Standard,2.15
240,43,Female,Standard,5.05
241,27,Male,Standard,3.3000000000000003
242,33,Male,Premium,9.059999999999999
243,40,Male,Standard,5.3
244,43,Male,Standard,7.1499999999999995
245,22,Male,Standard,6.800000000000001
246,31,Female,Premium,6.54
247,30,Male,Standard,7.3
248,28,Female,Standard,5.4
249,52,Female,Premium,3.9
250,39,Male,Premium,8.7
251,22,Male,Standard,5.7
252,44,Male,Premium,4.26
253,56,Female,Standard,4.7
254,45,Male,Standard,3.9499999999999997
255,19,Female,Standard,6.75
256,30,Male,Standard,5.75
257,47,Female,Standard,3.2
258,27,Male,Premium,5.3999999999999995
259,39,Male,Standard,2.9
260,42,Female,Standard,3.15
261,25,Female,Standard,5.3500000000000005
262,34,Male,Premium,7.5600000000000005
263,2,Female,Standard,6.1
264,24,Male,Standard,3.65
265,32,Female,Standard,6.25
266,22,Female,Standard,3.9499999999999997
267,51,Male,Premium,6.42
268,20,Male,Premium,3.84
269,30,Male,Standard,4.5
270,36,Female,Premium,4.74
271,49,Female,Standard,5.0
272,20,Male,Premium,4.92
273,46,Male,Standard,5.5
274,35,Female,Standard,2.2
275,25,Female,Standard,4.3
276,39,Female,Standard,4.25
277,36,Male,Standard,6.05
278,28,Male,Standard,3.4000000000000004
279,35,Male,Standard,4.25
280,31,Female,Premium,4.74
281,36,Male,Standard,2.4
282,41,Female,Standard,3.45
283,50,Male,Premium,4.08
284,22,Female,Standard,5.55
285,56,Female,Standard,3.4000000000000004
286,15,Female,Standard,3.5500000000000003
287,33,Male,Premium,4.32
288,40,Male,Standard,9.3
289,37,Male,Standard,4.85
290,28,Female,Premium,6.0
291,32,Female,Premium,8.88
292,30,Female,Standard,3.55
293,29,Female,Standard,3.85
294,43,Female,Standard,5.4
295,38,Male,Premium,9.12
296,28,Female,Standard,5.45
297,43,Male,Standard,2.95
298,38,Male,Premium,3.2399999999999998
299,43,Female,Standard,5.5
300,41,Male,Standard,4.75
301,26,Male,Standard,6.5
302,29,Female,Standard,5.5
303,42,Male,Standard,3.6
304,41,Female,Standard,3.75
305,34,Male,Standard,3.7
306,36,Male,Standard,4.85
307,47,Male,Premium,4.859999999999999
308,29,Male,Standard,3.8000000000000003
309,40,Female,Premium,11.94
310,32,Male,Standard,4.6000000000000005
311,32,Female,Premium,6.24
312,45,Male,Premium,7.08
313,43,Female,Standard,5.0
314,43,Female,Premium,4.56
315,48,Female,Premium,5.46
316,35,Male,Standard,3.8000000000000003
317,41,Male,Standard,10.0
318,31,Male,Standard,2.1500000000000004
319,38,Female,Premium,5.16
320,33,Male,Premium,6.779999999999999
321,35,Female,Premium,4.86
322,40,Female,Standard,7.55
323,26,Male,Premium,4.86
324,55,Female,Standard,6.4
325,24,Male,Standard,4.55
326,22,Male,Standard,3.7
327,46,Female,Standard,3.35
328,42,Female,Standard,5.85
329,41,Female,Standard,5.05
330,41,Male,Standard,5.95
331,34,Male,Standard,3.75
332,26,Female,Standard,4.95
333,35,Female,Standard,2.7
334,28,Female,Standard,2.7
335,44,Male,Standard,6.300000000000001
336,33,Female,Standard,5.3
337,26,Male,Standard,3.25
338,31,Male,Standard,3.3000000000000003
339,39,Female,Standard,4.1
340,29,Male,Standard,6.65
341,26,Female,Standard,6.25
342,37,Male,Premium,6.42
343,37,Male,Standard,6.4
344,29,Female,Standard,3.8000000000000003
345,30,Female,Standard,3.85
346,37,Female,Standard,4.05
347,20,Female,Standard,3.1
348,20,Female,Standard,5.5
349,27,Female,Standard,3.45
350,32,Female,Standard,3.7
351,38,Male,Standard,7.0
352,49,Male,Premium,2.76
353,43,Male,Premium,9.42
354,33,Female,Premium,4.02
355,34,Female,Premium,3.3
356,24,Male,Standard,4.1000000000000005
357,34,Female,Standard,3.7
358,32,Female,Standard,7.25
359,38,Male,Standard,5.4
360,26,Female,Premium,7.26
361,40,Female,Standard,5.05
362,50,Male,Premium,3.6
363,33,Female,Standard,3.35
364,39,Male,Premium,2.6999999999999997
365,41,Female,Standard,5.7
366,30,Female,Standard,7.7
367,37,Female,Standard,6.0
368,35,Male,Standard,2.85
369,35,Female,Standard,4.85
370,27,Female,Standard,4.25
371,35,Male,Premium,2.16
372,39,Female,Standard,2.75
373,49,Male,Standard,3.55
374,44,Female,Standard,3.5500000000000003
375,56,Male,Premium,4.62
376,27,Male,Standard,8.5
377,43,Male,Standard,7.4
378,36,Female,Standard,4.55
379,56,Male,Standard,7.3
380,26,Female,Standard,3.0
381,26,Male,Standard,6.3500000000000005
382,29,Male,Standard,4.4
383,13,Female,Premium,3.9
384,29,Female,Standard,4.8500000000000005
385,27,Male,Standard,2.7
386,36,Female,Standard,8.0
387,38,Female,Premium,10.02
388,53,Female,Standard,6.3
389,44,Male,Premium,9.06
390,29,Male,Standard,6.45
391,26,Female,Standard,3.4000000000000004
392,39,Male,Standard,3.45
393,21,Female,Premium,8.4
394,53,Female,Standard,5.2
395,46,Female,Premium,6.72
396,30,Female,Premium,4.859999999999999
397,17,Other,Standard,5.7
398,48,Male,Standard,4.7
399,33,Female,Standard,6.5
400,47,Male,Standard,5.300000000000001
401,19,Male,Premium,3.1799999999999997
402,29,Female,Premium,3.48
403,35,Female,Standard,6.15
404,35,Female,Standard,3.0500000000000003
405,30,Female,Premium,6.779999999999999
406,41,Male,Standard,10.299999999999999
407,24,Male,Premium,4.92
408,33,Female,Standard,4.1
409,36,Male,Standard,3.9499999999999997
410,40,Male,Standard,4.7
411,42,Male,Standard,7.15
412,23,Male,Standard,6.2
413,19,Male,Standard,3.4000000000000004
414,47,Male,Standard,2.05
415,38,Male,Premium,3.0
416,27,Male,Premium,9.9
417,50,Female,Standard,3.5500000000000003
418,36,Male,Standard,4.4
419,46,Male,Standard,4.2
420,35,Female,Standard,0.8500000000000001
421,55,Male,Standard,4.0
422,52,Female,Standard,3.9000000000000004
423,32,Female,Standard,4.65
424,44,Male,Standard,11.5
425,41,Male,Standard,3.85
426,48,Female,Standard,4.2
427,25,Female,Premium,9.9
428,41,Male,Standard,4.7
429,45,Female,Standard,4.35
430,17,Male,Standard,2.8000000000000003
431,23,Other,Standard,5.800000000000001
432,14,Male,Premium,5.46
433,32,Female,Standard,4.45
434,42,Female,Premium,6.0
435,50,Female,Standard,4.2
436,35,Female,Standard,5.35
437,51,Male,Premium,7.92
438,21,Male,Standard,6.65
439,17,Male,Standard,3.5
440,34,Male,Standard,5.6
441,38,Female,Standard,6.6
442,34,Male,Premium,4.68
443,14,Male,Standard,4.3
444,34,Female,Standard,2.45
445,21,Female,Standard,5.25
446,41,Female,Standard,4.15
447,38,Other,Standard,4.3
448,25,Male,Standard,5.45
449,29,Male,Standard,3.1
450,24,Female,Premium,6.18
451,34,Female,Standard,1.55
452,44,Male,Standard,3.0
453,25,Female,Premium,4.859999999999999
454,40,Male,Standard,3.3
455,29,Male,Standard,3.85
456,27,Female,Standard,5.2
457,33,Female,Standard,4.3500000000000005
458,24,Female,Standard,7.3
459,29,Male,Premium,7.92
460,23,Female,Standard,2.3000000000000003
461,54,Male,Standard,3.95
462,35,Male,Premium,7.92
463,28,Female,Standard,6.25
464,37,Female,Standard,3.85
465,33,Female,Standard,4.7
466,32,Female,Premium,9.24
467,41,Female,Standard,6.15
468,42,Female,Standard,4.95
469,29,Male,Standard,5.15
470,29,Male,Standard,5.6000000000000005
471,32,Male,Standard,4.25
472,11,Male,Standard,5.4
473,19,Female,Premium,5.88
474,48,Female,Standard,3.1500000000000004
475,51,Male,Standard,3.35
476,32,Male,Premium,6.8999999999999995
477,40,Female,Premium,7.92
478,38,Male,Standard,5.1
479,65,Female,Standard,5.0
480,46,Female,Standard,6.7
481,33,Male,Premium,3.36
482,25,Female,Premium,4.68
483,18,Female,Standard,3.5500000000000003
484,37,Male,Premium,5.22
485,27,Female,Standard,6.3
486,20,Female,Standard,3.4000000000000004
487,28,Male,Standard,4.2
488,24,Female,Premium,8.1
489,51,Female,Standard,6.7
490,43,Female,Premium,3.36
491,34,Female,Premium,5.3999999999999995
492,49,Female,Premium,1.74
493,35,Female,Standard,2.45
494,26,Female,Standard,5.45
495,50,Female,Standard,5.75
496,40,Female,Standard,4.7
497,24,Female,Standard,3.8
498,33,Female,Premium,4.68
499,26,Male,Standard,5.2
500,21,Female,Standard,2.3
